track_id,tempo,rms_mean,n_beats,centroid_mean,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
-fxMThzEqlg,127.8409090909091,0.25464046001434326,372,4155.080403986044,-92.47368621826172,106.14859771728516,-43.67841720581055,47.72620391845703,-24.328338623046875,30.1606388092041,-12.352752685546875,17.52541160583496,-4.026865005493164,7.452123641967773,-0.7634244561195374,0.7322556972503662,3.438648223876953
-gR7-aOu_vo,125.0,0.2908511161804199,703,2593.161471946565,-155.217529296875,127.5303726196289,-18.32160186767578,73.42706298828125,8.7510986328125,34.901832580566406,12.267120361328125,13.673357009887695,4.7241034507751465,-1.6830230951309204,-0.08062860369682312,-2.613377094268799,8.244970321655273
-gzGZTXR958,119.68085106382979,0.17984355986118317,940,2226.5216241932517,-179.5897216796875,156.73385620117188,-36.165889739990234,25.57802963256836,1.034976840019226,7.639772891998291,3.028823137283325,1.887698769569397,-1.0724722146987915,-2.979187250137329,1.2504910230636597,-5.165081977844238,-1.3631978034973145
-iUUAeYaFqY,127.8409090909091,0.23782774806022644,434,3482.583194685068,-80.0408935546875,135.04742431640625,-40.54291915893555,55.004581451416016,-27.207935333251953,27.715181350708008,-13.062673568725586,11.667878150939941,-5.291398525238037,5.401352882385254,1.5336028337478638,-0.7848109006881714,5.915816307067871
-jKtEEsHJak,86.1328125,0.32279571890830994,439,2714.636953418387,-173.57696533203125,97.186279296875,-10.263333320617676,55.38220977783203,-4.478099346160889,42.651611328125,7.822888374328613,17.654958724975586,-4.852662086486816,7.547454357147217,-0.9544078707695007,1.0487698316574097,-3.015101194381714
-kAJs3YD0Xs,117.1875,0.21497419476509094,441,3618.796559959858,-138.15911865234375,119.10140991210938,-24.546571731567383,56.788246154785156,-25.8033447265625,27.779430389404297,-19.140050888061523,9.47215747833252,-7.6153154373168945,5.662673473358154,-4.4913129806518555,-1.0107706785202026,2.103693962097168
-kLvsKZMLh4,125.0,0.2674984931945801,758,1851.1014368739745,-233.53802490234375,123.8070297241211,-0.10992681980133057,37.48820114135742,7.991297721862793,24.09280776977539,9.96920394897461,16.168495178222656,10.364904403686523,11.162129402160645,10.160076141357422,4.490989685058594,10.726358413696289
-l6ACAUYJMg,86.53846153846153,0.23769627511501312,384,3972.2547265083417,-133.3042755126953,108.93678283691406,-25.804317474365234,55.65333938598633,-24.90350914001465,40.40974426269531,-4.62807559967041,20.32063865661621,-3.145747184753418,7.0054192543029785,0.3001312017440796,3.28596568107605,3.218820095062256
-laPWdxhQrY,125.0,0.22083145380020142,1838,2827.5046453432647,-208.4228973388672,119.43241882324219,15.282588958740234,48.671329498291016,-4.526620388031006,27.33437728881836,-0.15480956435203552,15.885266304016113,-2.600947856903076,5.798224925994873,5.0359392166137695,4.170522212982178,12.18416690826416
-lk_FxKWiic,130.8139534883721,0.25204744935035706,706,2169.5311779157933,-218.4607696533203,133.5907440185547,-15.502614974975586,12.208158493041992,-0.4880622625350952,30.044191360473633,14.136872291564941,25.539220809936523,3.890336513519287,10.841348648071289,14.726794242858887,7.521871566772461,10.117579460144043
